SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2019nyr,2019nyr,2019/08/20.403,'21:08:39.086,-43:25:11.48,0.044,17.8,---,17.58,4.6,Ia,AM 2105-433,ATLAS,Yes
2019nzx,2019nzx,2019/08/20.394,'20:51:34.816,-44:49:32.40,0.065,17.4,---,---,7.08,Ia-91T,WISEA J205135.38-444933.1,ATLAS,Yes
2019obe,2019obe,2019/08/18.492,'07:00:11.224,+32:53:45.47,0.056,17.5,---,---,5.5,Ia,WISEA J070011.13+325350.5,ZTF,No
2019odp,2019odp,2019/08/21.388,'23:07:19.090,+13:51:21.41,0.014,17.8,---,16.51,23.7,Ic-BL,UGC 12373,ZTF,Yes
2019oez,2019oez,2019/08/22.418,'01:05:37.620,-24:24:13.84,0.039,17.4,---,---,1.146403648,II,ESO 475- G 010,ZTF,Yes
2019ofc,2019ofc,2019/08/22.513,'01:33:36.927,-38:35:59.08,0.021,17.2,---,17.05,6.5,II,LCRS B013124.4-385126,ATLAS,Yes
2019oml,2019oml,2019/08/24.465,'03:00:20.275,+18:44:37.05,0.033,17.6,---,17.29,7.5,Ia,CGCG 463-044,ZTF,Yes
2019osl,2019osl,2019/08/26.574,'04:38:54.332,+18:50:10.23,0.010857,16.4,---,17.12,12.24215236,II,UGC 03115,ATLAS,Yes
2019oua,2019oua,2019/08/27.462,'04:13:13.061,-12:20:17.86,0.0319,17.9,---,17.78,5.1,IIP,LCSB S0681O,ZTF,Yes
2019owu,2019owu,2019/08/28.611,'03:46:01.598,-20:30:28.41,0.035,17.2,---,---,0.8,Ia,GALEXASC J034601.57-203027.6,ATLAS,No
2019pbp,2019pbp,2019/08/31.481,'05:10:41.714,-18:36:26.01,0.05,17.8,---,---,6.4,Ia,WISEA J051041.99-183629.8,ZTF,No
2019pdx,2019pdx,2019/08/31.454,'21:50:37.929,+36:27:24.43,0.02,18,---,17.64,15.54,Ia,WISEA J215036.75+362730.5,ATLAS,No
2019pe,2019pe,2019/01/10.633,'16:01:21.057,+15:26:39.76,0.03,17.4,---,16.7,1.56,Ia,GALEXASC J160121.06+152641.3,ATLAS,Yes
2019pfe,2019pfe,2019/09/01.144,'16:03:51.707,+39:59:07.57,0.031442,17.3,---,---,6.4,Ia,UGC 10166,ZTF,No
2019phj,2019phj,2019/09/01.474,'06:28:33.530,+56:04:30.90,0.029,15.2,---,15.48,7.2,Ia,WISEA J062833.69+560438.4,ZTF,Yes
2019phs,2019phs,2019/09/02.621,'06:35:03.567,+62:58:10.34,0.038,17.9,---,---,25.3,Ia,WISEA J063504.14+625835.3,ATLAS,No
2019pjs,2019pjs,2019/09/04.145,'18:04:40.344,+21:38:04.20,0.007415,16.5,---,16.68,60.70349094,II,UGC 11105,LOSS,Yes
2019pjv,2019pjv,2019/09/03.969,'17:14:34.950,+28:07:25.60,0.023,15.5,---,15.63,45.03380651,Ia-91T,MCG +05-41-001,MASTER,Yes
2019pmd,2019pmd,2019/08/30.462,'03:18:23.796,-01:55:49.72,0.022,16.8,---,17.01,5.1,Ia,KUG 0315-021B,ZTF,Yes
2019pnk,2019pnk,2019/09/06.480,'03:15:25.885,-19:21:34.68,0.068077,18,---,17.809,1.5,II,WISEA J031525.78-192135.2,ZTF,Yes
2019ppj,2019ppj,2019/09/07.492,'08:49:19.093,+46:22:51.29,0.04,17.4,---,---,2.4,Ia,WISEA J084918.89+462252.3,ZTF,No
2019pqd,2019pqd,2019/09/06.206,'09:35:11.088,+48:43:05.48,0.024,17,---,---,3.980805168,Ia,WISEA J093511.34+484308.2,Gaia,No
2019pqo,2019pqo,2019/09/07.212,'15:41:30.333,+15:47:03.30,0.01413,16.5,---,---,12.35,IIb,NGC 5980,ZTF,No
2019ptd,2019ptd,2019/09/08.152,'13:56:19.106,+28:32:16.96,0.03466,17.6,---,---,6.3,Ia,VV 158a,ZTF,No
2019pxo,2019pxo,2019/09/10.546,'03:15:18.370,+42:41:43.95,0.017519,15.9,---,---,5.787115395,Ia,UGC 02614,ATLAS,No
2019qar,2019qar,2019/09/12.690,'21:35:46.010,-63:54:16.03,0.01,17.5,---,---,10.48212208,Ib-pec,NGC 7083,DLT40,No
2019qch,2019qch,2019/09/14.269,'18:29:13.795,+41:02:32.56,0.024,17.3,---,---,5.3,II,WISEA J182914.07+410228.6,ZTF,No
2019qem,2019qem,2019/09/12.358,'06:03:45.000,-64:22:36.00,0.042,16.4,---,16.52,1.6,IIn,WISEA J060344.96-642234.2,OGLE,Yes
2019qia,2019qia,2019/09/19.133,'16:06:15.329,+15:38:51.49,0.039,17.5,---,---,2.8,Ia,WISEA J160615.30+153854.3,ZTF,No
2019qih,2019qih,2019/09/18.459,'03:52:10.723,-08:30:22.81,0.03,18,---,---,20.1,Ia,WISEA J035212.04-083027.4,ZTF,No
2019qny,2019qny,2019/09/10.571,'03:32:59.950,-02:46:41.45,0.048,18,---,17.729,5.7,IIn,WISEA J033259.99-024648.4,PS1,Yes
2019qqm,2019qqm,2019/09/19.135,'15:30:26.878,+36:44:20.23,0.05,17.5,---,---,0.12,Ia,SDSS J153026.88+364420.1,ZTF,No
2019qt,2019qt,2019/01/08.512,'14:59:10.652,+43:49:11.64,0.035,16.5,---,15.893,5.7,IIn,GALEXASC J145910.42+434905.0,ZTF,Yes
2019quv,2019quv,2019/09/21.959,'12:51:24.990,+70:07:44.47,0.03,16.5,---,---,10.29351347,Ia,WISEA J125125.75+700734.8,Gaia,No
2019qyk,2019qyk,2019/09/25.794,'10:22:42.290,+46:14:43.20,0.016875,15.6,---,16.08,28.86775164,Ia,UGC 05604,Koichi Itagaki,Yes
2019rf,2019rf,2019/01/11.337,'03:12:13.522,+67:24:35.05,0.011,17.3,---,---,27.71375538,SN,WISEA J031209.43+672421.6,ATLAS,No
2019rg,2019rg,2019/01/11.212,'23:02:55.202,+08:24:09.95,0.0215,16,---,---,1.5,Ia,WISEA J230255.31+082411.0,ATLAS,No
2019rhm,2019rhm,2019/09/28.208,'20:41:30.211,+13:04:23.28,0.0326,17.9,---,17.01,1.1,Ia,UGC 11614,ZTF,Yes
2019rhx,2019rhx,2019/09/28.156,'20:21:29.237,+59:44:26.35,0.025414,17.5,---,16.69,15.38783594,Ia,CGCG 304-003,ZTF,Yes
2019rlx,2019rlx,2019/09/30.458,'05:48:19.623,-16:23:47.62,0.041,17.6,---,16.83,11.88,Ia,WISEA J054819.22-162358.3,ZTF,Yes
2019rmq,2019rmq,2019/09/30.223,'15:38:12.846,+39:43:57.90,0.0291,17.6,---,---,2.4,Ia,2MASX J15381276+3943598,ATLAS,No
2019rn,2019rn,2019/01/12.301,'02:17:59.605,+14:32:00.41,0.013,16.2,---,16.983,38.19957626,IIb,NGC 0877,ATLAS,Yes
2019ro,2019ro,2019/01/11.592,'11:59:34.013,+57:19:43.89,0.043,16.9,---,16.462,27.3,Ia,WISEA J115932.93+571916.7,ATLAS,Yes
2019roz,2019roz,2019/10/01.334,'01:14:29.230,+37:02:57.81,0.03,17.8,---,---,1.2,Ia,WISEA J011429.29+370258.5,ZTF,Yes
2019rpp,2019rpp,2019/10/01.522,'10:49:18.660,+22:58:57.83,0.03,17.7,---,---,10.8,Ia,WISEA J104919.21+225849.7,ZTF,No
2019rpr,2019rpr,2019/09/30.890,'20:55:29.780,+22:07:25.50,0.03,16.6,---,17.36,11.7,Ia,UNCATALOGUED,MASTER,Yes
2019rrt,2019rrt,2019/10/02.505,'10:17:19.786,+36:39:03.84,0.033476,17.4,---,---,5.7,Ia,2MASX J10171952+3638597,ZTF,No
2019rx,2019rx,2019/01/13.373,'05:21:59.586,-07:11:24.54,0.036882,17.7,---,17,11.4,Ia,WISEA J052200.10-071132.9,ATLAS,Yes
2019rzm,2019rzm,2019/10/05.533,'01:17:21.680,-16:04:04.88,0.044834,18,---,17.01,36.66,Ia,MCG -03-04-038,ATLAS,Yes
2019slu,2019slu,2019/10/13.229,'16:50:48.491,+28:51:03.04,0.03265,15.1,---,---,20.10958615,Ia,MRK 1108,ATLAS,Yes
2019snv,2019snv,2019/10/12.124,'16:33:47.009,+47:58:25.95,0.03489,17.2,---,---,6.8,Ia,WISEA J163346.28+475824.0,ZTF,No
2019sox,2019sox,2019/10/16.332,'21:31:24.760,+02:29:38.97,0.01,17.2,---,16.762,14.13192855,II,NGC 7081,ATLAS,Yes
2019spk,2019spk,2019/10/16.626,'10:02:54.376,-06:12:25.88,0.01271,17.8,---,---,12.7,II,WISEA J100255.22-061226.8,ATLAS,No
2019suf,2019suf,2019/10/18.551,'03:13:41.308,+02:35:47.60,0.04,17.4,---,17.12,5.4,Ia,WISEA J031341.09+023551.9,ATLAS,No
2019svu,2019svu,2019/10/19.469,'02:39:23.479,+12:40:49.78,0.047,17.6,---,---,5.6,Ia,VV 516 NED01,ATLAS,No
2019swh,2019swh,2019/10/06.375,'07:22:09.108,-29:13:35.44,0.010124,15.8,---,---,32.83495534,Ia,ESO 428- G 023,DLT40,No
2019syd,2019syd,2019/10/11.107,'19:30:30.014,-00:28:15.50,0.024,17.8,---,---,0.6,Ia,WISEA J193030.00-002815.0,ZTF,No
2019szv,2019szv,2019/10/21.541,'06:43:30.878,-35:45:53.24,0.033,17.4,---,16.822,15.9,Ia,ESO 366- G 012,ATLAS,Yes
2019tdf,2019tdf,2019/10/23.089,'17:46:28.968,+30:42:24.92,0.016,16.7,---,---,16.15936727,Ia,UGC 10976,ZTF,No
2019tfk,2019tfk,2019/10/24.207,'15:30:31.654,+82:26:56.47,0.022,17,---,---,53.70070258,Ia,IC 1143,ATLAS,Yes
2019thi,2019thi,2019/10/23.109,'11:15:15.290,-27:39:11.70,0.014,17.5,---,---,27.38759738,II,ESO 503- G 005,MASTER,No
2019thx,2019thx,2019/10/24.626,'10:57:15.775,-05:07:10.35,0.02433,17.4,---,---,10.98,Ia,WISEA J105716.45-050707.9,ATLAS,No
2019tls,2019tls,2019/10/26.617,'08:02:49.921,+15:48:05.43,0.016198,17.9,---,17.493,24.7,Ib,NGC 2514,PS1,No
2019tpk,2019tpk,2019/10/29.346,'00:34:58.980,-42:57:29.45,0.06,18,---,---,5.2,Ia,WISEA J003458.62-425732.4,ATLAS,No
2019tqb,2019tqb,2019/10/29.117,'16:21:53.900,+38:55:47.24,0.01717,16.9,---,---,21.47,Ic,NGC 6131,ZTF,No
2019tqv,2019tqv,2019/10/29.519,'10:20:09.897,-03:06:31.55,0.05,17.7,---,17.61,1.8,Ia,WISEA J102009.75-030631.3,ZTF,Yes
2019tsf,2019tsf,2019/10/29.176,'11:08:32.801,-10:28:54.44,0.03,17.5,---,---,36.9,Ib,NGC 3541,Gaia,No
2019tua,2019tua,2019/10/31.328,'21:58:00.280,+24:15:57.10,0.010424,15,---,16.06,8.460618528,II,UGC 11860,ATLAS,Yes
2019tvv,2019tvv,2019/10/31.154,'11:51:05.419,+21:46:02.07,0.026,16.6,---,16.57,11.8,Ia,WISEA J115106.28+214602.1,Gaia,Yes
2019tyg,2019tyg,2019/11/01.625,'08:55:47.538,+00:47:35.34,0.042,17.8,---,17.57,4.5,Ia,CGCG 005-032,ATLAS,No
2019tyr,2019tyr,2019/11/01.644,'11:22:51.501,-07:35:25.22,0.0162,16.4,---,16.48,8.9,Ia,KUG 1120-073,ATLAS,Yes
2019uat,2019uat,2019/11/02.619,'11:48:27.320,+12:43:37.99,0.0136,15,---,15.18,3.012517906,Ia,IC 0737,ATLAS,Yes
2019udb,2019udb,2019/11/03.626,'11:53:01.872,-06:03:50.65,0.021835,16.3,---,---,9.2,Ia,LCRS B115027.8-054712,ATLAS,No
2019udz,2019udz,2019/11/02.821,'12:52:32.740,+33:54:16.35,0.04323,17.9,---,---,3.1,II,SDSS J125232.87+335413.6,Gaia,No
2019ugu,2019ugu,2019/11/02.119,'18:05:33.929,+45:15:16.38,0.045,17.7,---,---,6.3,Ia,WISEA J180534.16+451521.9,ZTF,No
2019uhm,2019uhm,2019/11/04.640,'10:28:48.456,-31:29:52.55,0.010377,16.9,---,16.512,9.4,II,WISEA J102849.18-312953.3,ATLAS,Yes
2019uhz,2019uhz,2019/11/06.363,'01:47:13.970,-08:27:41.10,0.0511,17.7,---,17.43,3.9,Ia,WISEA J014714.00-082745.2,ZTF,Yes
2019ujy,2019ujy,2019/11/08.074,'19:41:54.702,-20:10:04.65,0.039,18,---,---,0.8,Ia,2MASX J19415466-2010042,ZTF,No
2019ulp,2019ulp,2019/11/09.531,'08:28:13.100,+00:01:29.63,0.02,17.3,---,16.97,5.28550593,Ia,UGC 04431,ZTF,Yes
2019ult,2019ult,2019/11/10.110,'23:58:47.980,+14:44:31.39,0.0274,17.7,---,17.375,3.1,II,WISEA J235848.17+144429.9,ZTF,Yes
2019umc,2019umc,2019/11/10.128,'21:10:51.958,-16:16:52.22,0.036,17.4,---,16.77,7.6,Ia-91T,WISEA J211052.21-161649.0,ZTF,Yes
2019umr,2019umr,2019/11/08.084,'22:16:04.979,-26:40:42.88,0.02345,16.6,---,16.3,6.12867564,Ia,ESO 533- G 006,ZTF,Yes
2019uo,2019uo,2019/01/17.794,'12:02:36.560,+41:03:42.30,0.020454,16.5,---,17.09,27.21946584,Ibn,UGC 07020,Koichi Itagaki,No
2019uoo,2019uoo,2019/11/02.524,'08:38:45.662,-14:40:48.71,0.014223,17.1,---,---,8.093858028,Ia,MCG -02-22-024,ZTF,No
2019upq,2019upq,2019/11/10.817,'14:29:08.124,+27:27:00.68,0.01434,17.4,---,---,15.5,II,SDSS J142907.76+272646.0,Gaia,No
2019upw,2019upw,2019/11/12.407,'00:26:15.505,+21:48:35.90,0.02,15.2,---,15.5,15.37798193,Ia,NGC 0109,ATLAS,Yes
2019ust,2019ust,2019/11/13.290,'00:54:22.418,+31:40:12.65,0.022,17.5,---,---,18.9,II,UGC 00548,ZTF,Yes
2019uus,2019uus,2019/11/12.633,'11:20:14.018,-22:56:17.76,0.031,17.4,---,---,1.65,IIL,UNCATALOGUED,ATLAS,No
2019va,2019va,2019/01/16.058,'13:35:14.684,+44:45:58.67,0.0088,16.1,---,16.53,23.79755755,IIP,UGC 08577,ATLAS,Yes
2019vin,2019vin,2019/11/21.442,'03:30:49.289,-07:02:46.85,0.039,17.9,---,17.828,6.6,Ia,IC 0325,ATLAS,Yes
2019vju,2019vju,2019/11/23.854,'11:04:00.190,-18:46:35.80,0.012872,17,---,16.643,14.87512345,Ia,NGC 3514,Koichi Itagaki,Yes
2019voo,2019voo,2019/11/25.613,'12:19:42.531,-12:13:32.63,0.013,16.9,---,---,4.893751704,Ia,NGC 4263,ATLAS,No
2019vqm,2019vqm,2019/11/26.638,'13:32:18.387,+07:56:25.71,0.0236,17.2,---,---,1.4,Ia,2MASX J13321828+0756269,ATLAS,No
2019vrd,2019vrd,2019/11/26.650,'08:52:22.415,-20:17:30.88,0.052,18,---,---,24.96,Ia,WISEA J085220.67-201725.4,ATLAS,No
2019vro,2019vro,2019/11/27.651,'10:41:42.713,+06:11:49.64,0.033,17.2,---,17.07,6.69743194,Ia,CGCG 037-118,ATLAS,Yes
2019vsa,2019vsa,2019/11/28.624,'12:05:47.619,-27:56:38.66,0.006102,14.7,---,15.22,16.97615505,Ia,IC 2995,ATLAS,Yes
2019vsi,2019vsi,2019/11/28.635,'13:45:54.969,+23:03:42.95,0.028,17.4,---,---,6.3,Ib,WISEA J134555.11+230348.7,ATLAS,Yes
2019vsq,2019vsq,2019/11/29.567,'06:58:35.200,+45:12:31.60,0.01952,17.4,---,---,26.06077791,II,NGC 2308,Koichi Itagaki,No
2019vsr,2019vsr,2019/11/29.333,'02:01:57.732,+44:48:31.94,0.027,17.1,---,17.01,1.6,II,WISEA J020157.71+444832.1,ATLAS,Yes
2019vu,2019vu,2019/01/11.515,'14:02:19.893,+59:25:12.14,0.033,16.6,---,16.49,11.47201982,Ia,MCG +10-20-065,ATLAS,Yes
2019vus,2019vus,2019/11/29.110,'09:40:07.835,+72:03:44.83,0.025,17.9,---,---,3.66,II,WISEA J094007.34+720346.7,ATLAS,No
2019vv,2019vv,2019/01/09.545,'15:34:03.629,+02:12:39.78,0.0342,17.7,---,16.85,4.1,Ia,CGCG 022-015,ZTF,Yes
2019wbd,2019wbd,2019/12/03.148,'23:20:35.178,-00:52:51.12,0.01459,17.8,---,17.011,0.2,II,UM 158,ZTF,Yes
2019wbm,2019wbm,2019/12/02.145,'02:11:52.067,+28:18:31.25,0.07,18,---,---,0.3,Ia,WISEA J021152.05+281831.3,ZTF,No
2019wdr,2019wdr,2019/12/06.435,'08:45:00.837,+49:18:43.31,0.053,17.7,---,16.96,1.2,Ia,KUG 0841+494,ZTF,Yes
2019wds,2019wds,2019/12/06.518,'11:41:21.200,+63:04:41.88,0.05,17.6,---,---,0.8,Ia,WISEA J114121.27+630441.1,ZTF,No
2019weu,2019weu,2019/12/08.289,'23:24:33.204,+05:06:39.30,0.038,17.6,---,---,11.64,Ia,WISEA J232432.49+050638.5,ATLAS,No
2019wiq,2019wiq,2019/12/10.324,'09:08:47.606,+55:30:12.59,0.04796,17.8,---,17.46,17.8,Ia,CGCG 264-065,ZTF,Yes
2019wjl,2019wjl,2019/12/11.242,'07:57:12.278,+83:15:12.50,0.063,17.8,---,---,0.7,Ia,WISEA J075712.28+831512.0,ZTF,No
2019wka,2019wka,2019/12/03.326,'03:14:40.146,-00:52:16.69,0.04,17.4,---,---,2.88,Ia,SDSS J031440.16-005213.8,PS1,No
2019wkb,2019wkb,2019/12/11.424,'11:23:04.543,+27:34:14.22,0.0567,18,---,---,1.2,Ia,WISEA J112304.65+273415.2,ZTF,No
2019wkk,2019wkk,2019/12/10.368,'03:17:10.675,-19:30:18.63,0.032,16.3,---,16.11,8.160235005,Ia,WISEA J031711.12-193020.0,ATLAS,Yes
2019wkl,2019wkl,2019/12/11.395,'05:40:25.057,-18:05:51.69,0.041379,17.9,---,17.8,5.3,Ia,WISEA J054024.74-180554.2,ATLAS,No
2019wli,2019wli,2019/12/11.624,'13:52:55.332,+03:01:44.38,0.023,16.8,---,16.67,0.9,Ia-91T,SDSS J135255.35+030145.1,ATLAS,No
2019wlx,2019wlx,2019/12/13.568,'14:13:06.563,+03:42:31.04,0.0258,17.6,---,---,3.9,II,CGCG 046-064 NED01,ZTF,No
2019wmx,2019wmx,2019/12/13.364,'02:50:47.058,+33:30:45.22,0.039978,17.1,---,16.96,14.67516151,Ia,KUG 0247+333,ATLAS,Yes
2019wnq,2019wnq,2019/12/11.285,'00:58:39.059,-09:11:49.60,0.0517,18,---,17.5,0.5,Ia,WISEA J005839.07-091149.9,ATLAS,Yes
2019wnr,2019wnr,2019/12/06.517,'11:58:21.252,+55:55:42.64,0.075,17.9,---,---,0.4,Ic,WISEA J115821.29+555542.9,ZTF,No
2019wqf,2019wqf,2019/12/14.570,'14:30:00.135,+39:56:44.92,0.033,17,---,---,24.33508517,Ia,UGC 09323,ZTF,No
2019wqq,2019wqq,2019/12/11.428,'10:35:04.827,+46:33:38.14,0.01123,17.5,---,---,3.063601989,IIb,UGC 05744,ZTF,Yes
2019wva,2019wva,2019/12/11.557,'13:12:43.179,+51:56:33.39,0.053,17.9,---,17.611,0.5,Ia,WISEA J131243.10+515634.0,ZTF,No
2019wwa,2019wwa,2019/12/16.465,'12:52:48.081,+80:19:24.93,0.033,16.9,---,16.59,4.954559644,Ia,CGCG 365-006,ZTF,Yes
2019wzj,2019wzj,2019/12/18.875,'02:43:59.550,+32:31:41.70,0.02,17.2,---,---,11.25929451,Ia,WISEA J024400.38+323145.3,Jaroslaw Grzegorzek,No
2019xa,2019xa,2019/01/19.547,'11:56:28.239,+20:00:38.82,0.041211,17.8,---,16.84,2.1,Ia,WISEA J115628.19+200036.6,ZTF,Yes
2019xax,2019xax,2019/12/14.568,'15:57:11.615,+34:31:31.46,0.0311,17.5,---,---,0.1,Ia,WISEA J155711.59+343131.2,ZTF,No
2019xbr,2019xbr,2019/12/19.517,'14:47:28.746,+29:32:12.45,0.07,18,---,---,0.7,Ia,SDSS J144728.69+293212.5,ZTF,No
2019xdf,2019xdf,2019/12/19.605,'09:27:51.809,+68:24:42.44,0.013,17.7,---,17.15,9.8,II,MRK 0111 NED01,ATLAS,Yes
2019xgu,2019xgu,2019/12/19.777,'13:18:06.270,-24:53:02.84,0.032,17.6,---,17.11,3.72,Ia,WISEA J131806.26-245305.4,Gaia,Yes
2019xhb,2019xhb,2019/12/21.091,'00:10:10.698,-06:00:03.60,0.03,16.5,---,16.379,0.9,II,WISEA J001010.70-060003.5,ZTF,Yes
2019xud,2019xud,2019/12/24.355,'02:38:01.471,+18:47:06.22,0.0274,17.2,---,17.121,2.1,Ia,2MFGC 02082,ATLAS,Yes
2019xvv,2019xvv,2019/12/25.277,'14:24:19.221,-16:22:19.34,0.022,17.9,---,---,16.86,II,GALEXASC J142418.35-162230.6,Gaia,No
2019yb,2019yb,2019/01/19.529,'11:00:37.869,+30:30:45.27,0.055,17.8,---,17.689,2.2,Ia,SDSS J110037.80+303043.1,ZTF,Yes
2019yc,2019yc,2019/01/22.465,'00:39:35.000,+00:52:04.70,0.006,16.7,---,16.68,29.21,II,NGC 0201,Koichi Itagaki,Yes
2019yvq,2019yvq,2019/12/28.741,'12:27:21.690,+64:47:59.70,0.00908,15,---,15.371,10.27131656,Ib/c,NGC 4441,Koichi Itagaki,No
2019yvr,2019yvr,2019/12/27.521,'12:45:08.132,-00:27:32.66,0.005,14.5,---,16.07,12.26129714,Ib,NGC 4666,ATLAS,No
2019yvw,2019yvw,2019/12/28.617,'15:38:25.660,+13:30:18.35,0.055,18,---,---,0.2,Ia,SDSS J153825.66+133018.4,ATLAS,No
2019yxp,2019yxp,2019/12/27.907,'14:16:32.130,+57:48:28.80,0.010417,16.5,---,15.797,11.12749872,Ib,IC 0995,Gaia,Yes
2019yz,2019yz,2019/01/20.516,'15:41:57.305,+00:42:39.41,0.00639,15.9,---,16.73,34.17579287,Ic,UGC 09977,ATLAS,Yes
2019zhs,2019zhs,2019/12/30.194,'15:38:55.480,+04:34:41.05,0.0228,15.8,---,16.35,20.01582597,Ia-91T,IC 4552,Italian Supernovae Search Project,Yes
2020aabz,2020aabz,2020/11/16.319,'02:54:59.029,+04:03:36.86,0.03,17.2,---,16.02,5.2,Ia,WISEA J025459.33+040339.8,ZTF,Yes
2020aagt,2020aagt,2020/11/17.617,'12:04:49.021,-05:35:54.84,0.026932,17.7,---,17.696,13.3,II,LCRS B120214.3-051913,ATLAS,No
2020aagu,2020aagu,2020/11/17.612,'11:39:19.523,-12:05:59.53,0.073941,18,---,---,8.3,II,LCRS B113647.4-114915,ATLAS,No
2020aagy,2020aagy,2020/11/17.364,'00:57:09.473,+54:44:50.57,0.02,16.9,---,17.22,5.2,II,WISEA J005708.87+544449.6,ATLAS,Yes
2020aakx,2020aakx,2020/11/19.149,'01:45:25.086,-16:18:57.44,0.04,17.4,---,---,1.8,Ia,WISEA J014525.18-161857.3,ZTF,No
2020aapr,2020aapr,2020/11/19.605,'07:28:04.331,+66:22:29.13,0.015,17.5,---,---,0.9,II,UNCATALOGUED,ATLAS,No
2020aatb,2020aatb,2020/11/23.372,'05:24:46.411,-15:56:31.43,0.00995,17.6,---,17.1,10.9,II,NGC 1906,ZTF,Yes
2020aatc,2020aatc,2020/11/23.257,'02:48:16.430,-10:15:07.52,0.015254,15.3,---,15.24,14.94565053,Ia,MCG -02-08-007,ZTF,Yes
2020aauk,2020aauk,2020/11/23.436,'08:17:50.947,-05:43:09.70,0.039434,17.4,---,17.074,5.5,Ia,WISEA J081750.69-054305.6,ZTF,Yes
2020aavb,2020aavb,2020/11/23.116,'11:28:48.294,+20:47:38.65,0.020884,16,---,16.488,29.48296204,Ia,NGC 3697,Italian Supernovae Search Project,Yes
2020aawr,2020aawr,2020/11/24.526,'12:34:09.771,-06:18:51.80,0.03,17,---,17.05,0.2,Ia,WISEA J123409.70-061850.4,ZTF,Yes
2020aaxs,2020aaxs,2020/11/25.508,'13:58:33.939,+37:27:11.49,0.0115,17,---,---,3.574491912,Ib,NGC 5394,ZTF,No
2020abbo,2020abbo,2020/11/28.108,'23:51:06.051,+06:56:32.93,0.017,18,---,17.8,1.1,II,UM 009,ZTF,No
2020abcl,2020abcl,2020/11/27.517,'10:13:28.336,+35:57:16.28,0.03889,17.6,---,16.59,8.9,Ia,KUG 1010+362,ZTF,Yes
2020abcp,2020abcp,2020/11/28.616,'13:15:54.860,+08:01:39.36,0.024537,17.1,---,---,2.1,Ia,CGCG 044-044 NED02,ATLAS,No
2020abcr,2020abcr,2020/11/28.486,'05:10:05.760,-37:35:02.92,0.05,18,---,17.376,23,Ia,AM 0508-373 NED01,ATLAS,No
2020abcs,2020abcs,2020/11/28.286,'22:41:25.808,-24:11:50.47,0.049,17.5,---,---,36.26552886,Ia,ESO 534-IG 016,ATLAS,No
2020abcu,2020abcu,2020/11/28.625,'13:35:23.517,+28:57:34.00,0.05,17.8,---,---,29.82,Ia,WISEA J133523.87+285704.3,ATLAS,No
2020abdr,2020abdr,2020/11/29.226,'03:42:47.489,-12:16:48.40,0.03,17.9,---,---,2.1,II,WISEA J034247.41-121648.8,ZTF,No
2020abfa,2020abfa,2020/11/26.209,'03:07:20.611,+04:23:25.84,0.031,17.6,---,---,3.2,Ia,WISEA J030720.39+042326.9,ZTF,Yes
2020abgq,2020abgq,2020/11/30.854,'12:28:50.250,-01:56:38.80,0.008029,16.3,---,---,19.24215937,Ia,NGC 4454,Koichi Itagaki,No
2020abhs,2020abhs,2020/12/01.550,'12:54:57.396,-13:32:29.47,0.007,17.3,---,---,5.8,II,WISEA J125457.68-133225.5,ZTF,No
2020abir,2020abir,2020/12/01.547,'13:52:16.528,+02:06:25.67,0.033056,17.3,---,---,5.671943495,Ia,NGC 5331 NED02,ZTF,No
2020abiu,2020abiu,2020/12/01.550,'13:05:19.716,-10:36:42.88,0.042546,17.4,---,17.119,14.5,Ia,WISEA J130520.23-103630.7,ZTF,Yes
2020abjq,2020abjq,2020/12/02.377,'01:06:14.630,+03:34:26.08,0.018433,16.3,---,16.13,9.168209083,II,UGC 00678,ATLAS,Yes
2020abku,2020abku,2020/12/02.547,'14:00:51.223,-00:11:08.03,0.081828,17.6,---,17.777,6.5,Ia,2MASX J14005146-0011141,ZTF,No
2020aboj,2020aboj,2020/12/04.483,'09:59:55.053,+13:02:42.55,0.035428,17.7,---,17.251,12.4,Ia,NGC 3080,ZTF,Yes
2020aboq,2020aboq,2020/12/04.477,'06:38:23.733,-35:13:29.13,0.02,18,---,17.36,13.26,Ic-BL,WISEA J063824.54-351320.0,ATLAS,Yes
2020abvg,2020abvg,2020/11/29.287,'01:11:36.257,-15:12:52.25,0.043,17.8,---,17.81,0.5,Ia,WISEA J011136.28-151251.9,PS1,No
2020abyx,2020abyx,2020/12/08.633,'13:32:07.156,-22:57:17.50,0.0169,16.8,---,---,20.94,Ia,ESO 509- G 045,ATLAS,No
2020acai,2020acai,2020/12/09.561,'14:57:44.161,+06:37:51.49,0.026892,18,---,---,18.2,Ia,UGC 09625,ZTF,Yes
2020acbm,2020acbm,2020/12/10.197,'02:40:17.801,+02:25:37.45,0.021,17.1,---,17.15,2.933263386,II,LSBC F831-08,ZTF,Yes
2020acch,2020acch,2020/12/10.204,'01:38:14.510,+36:36:34.45,0.017072,15.8,---,16.16,7.522645972,Ia,UGC 01161,ZTF,Yes
2020acma,2020acma,2020/12/12.592,'10:37:57.860,-28:54:30.78,0.014,15.9,---,14.77,22.17329782,Ia,ESO 437- G 019,ATLAS,Yes
2020acrr,2020acrr,2020/12/12.541,'14:17:32.338,+03:49:44.37,0.0363,17.9,---,---,7.6,Ia,WISEA J141731.90+034948.3,ZTF,No
