SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018cdt,2018cdt,2018/05/31.176,'12:20:01.670,+56:09:31.88,0.0339,17.1,16.619,16.96,14.67757899,Ia,MCG +09-20-146,ZTF,Yes
2018cew,2018cew,2018/06/01.520,'23:52:24.200,+28:46:30.60,0.022,16.4,---,---,9.590516493,Ib,NGC 7775,Tim Puckett et al.,No
2018cfa,2018cfa,2018/06/05.375,'16:49:39.120,+45:29:32.64,0.03,17.1,---,17.01,1.6,Ia,WISEA J164939.30+452933.8,CRTS,Yes
2018cfw,2018cfw,2018/05/26.138,'20:40:19.869,-18:01:07.93,0.055,17.9,---,17.94,3.5,Ia,WISEA J204020.22-180108.3,Gaia,No
2018cgq,2018cgq,2018/05/03.002,'00:54:02.542,+47:10:50.56,0.011,16.5,---,---,11.01180028,IIP,MCG +08-02-017,MASTER,No
2018cho,2018cho,2018/06/04.278,'00:13:26.515,+17:29:19.57,0.017,17.6,---,---,10.3,IIP,IC 0004,Gaia,Yes
2018cim,2018cim,2018/06/06.387,'15:57:39.270,+78:36:44.11,0.035,18,---,17.715,2.5,Ib,WISEA J155739.63+783646.3,ZTF,No
2018cni,2018cni,2018/06/13.564,'15:01:22.830,-10:10:49.91,0.032,18,---,---,5.4,Ia-pec,WISEA J150122.87-101055.7,PMO-Tsinghua Supernova Survey (PTSS),No
2018cnu,2018cnu,2018/06/14.339,'02:10:02.213,+37:02:18.32,0.025394,16.5,16.31,---,4.993646366,Ia,WISEA J021002.41+370212.7,Gaia,Yes
2018cnw,2018cnw,2018/06/15.258,'16:59:05.070,+47:14:11.12,0.025,15.9,---,15.61,37.17781739,Ia,NGC 6279,ZTF,Yes
2018cny,2018cny,2018/06/07.258,'15:04:16.620,+35:48:54.11,0.04727,17.9,17.472,---,12.5,Ia,2MASX J15041569+3549001,ZTF,No
2018cow,2018cow,2018/06/16.441,'16:16:00.220,+22:16:04.83,0.014145,13.8,---,14.52,6.075883335,Ic-BL,CGCG 137-068,ATLAS,Yes
2018cqa,2018cqa,2018/06/16.446,'14:47:45.777,+32:45:06.80,0.06,18,---,---,5.7,Ia,WISEA J144746.13+324511.1,Gaia,Yes
2018ctc,2018ctc,2018/06/21.244,'14:18:18.020,+28:58:23.88,0.0422,17.8,17.4,17.493,19.1,Ia,UGC 09155,CRTS,Yes
2018cto,2018cto,2018/06/18.267,'17:24:32.040,+70:22:20.81,0.051,17,---,---,3.9,Ia,WISEA J172431.44+702223.2,ZTF,No
2018ctw,2018ctw,2018/06/21.235,'01:57:57.680,-38:01:14.80,0.037,17.4,---,---,13.53760729,Ib-pec,ESO 297- G 036,Stu Parker,No
2018cuh,2018cuh,2018/06/22.332,'14:34:18.280,-37:28:44.74,0.012,16.3,---,15.07,17.28,Ia,ESO 385- G 045,ATLAS,Yes
2018cup,2018cup,2018/06/24.323,'12:35:22.970,+29:29:31.84,0.015254,17.5,---,---,13.19705354,II,UGC 07754,ATLAS,No
2018cur,2018cur,2018/06/22.344,'12:59:09.130,+37:19:00.10,0.015561,16.4,---,16,23.04,IIP,NGC 4868,ATLAS,No
2018cuw,2018cuw,2018/06/24.515,'18:46:14.380,+35:58:07.27,0.024,17.3,---,---,12.9,Ia,WISEA J184614.46+355820.2,ATLAS,Yes
2018cvw,2018cvw,2018/06/24.217,'15:57:02.310,+37:25:01.84,0.031,16.8,---,16.45,5,Ia,2MASX J15570268+3725001,ZTF,Yes
2018cvx,2018cvx,2018/06/23.235,'12:51:27.490,+20:36:23.29,0.062,17.9,---,---,0.6,Ia,WISEA J125127.50+203622.8,ZTF,No
2018cwa,2018cwa,2018/06/27.266,'12:42:43.880,+34:06:26.06,0.014,16.2,---,17.151,1.5,IIP,SDSS J124243.95+340624.8,ATLAS,Yes
2018cxe,2018cxe,2018/06/26.210,'17:21:01.629,+26:09:07.31,0.043811,17.8,---,---,10.2,Ia,WISEA J172101.96+260916.8,Gaia,Yes
2018cxm,2018cxm,2018/06/28.226,'14:53:58.330,+26:00:07.09,0.048,17.5,---,17.47,3.2,Ia,WISEA J145358.53+260005.6,ZTF,Yes
2018cyg,2018cyg,2018/06/30.312,'15:34:08.470,+56:41:49.03,0.01138,17,---,---,64.2,II,NGC 5965,LOSS,No
2018dbg,2018dbg,2018/06/28.267,'14:17:58.860,+26:24:44.59,0.01479,17.5,---,---,1.967639017,Ib/c,IC 4397,ZTF,No
2018dcn,2018dcn,2018/06/24.294,'17:06:44.020,+18:21:25.41,0.05,18,---,---,0.6,Ia,WISEA J170644.04+182124.5,ZTF,No
