HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
IC 3671,0.028647,ASASSN-18cj,Ia,5.28,0.053,17.1842,0.0181,16.764,0.014,15.01239967,0.001379,14.41779995,0.000928,14.13140011,0.000791,13.92679977,0.001014,13.6850996,0.001655,---,---,---,---,---,---,12.267,0.023,12.226,0.023
2MASX J10515007+2502409,0.045564,ASASSN-18ck,Ia,0.28,0.01,---,---,19.083,0.037,17.32579994,0.004378,16.51099968,0.002769,16.0454998,0.00225,15.79170036,0.003208,15.65380001,0.005374,14.599,0.057,13.883,0.063,13.393,0.076,13.573,0.024,13.514,0.032
2MASX J11091457-1255536,0.025568,ASASSN-18cl,Unk,0.75,0.117,19.1118,0.0521,---,---,15.31200027,0.001204,14.65680027,0.000679,14.26589966,0.000645,14.11929989,0.001012,13.88199997,0.002138,13.051,0.03,12.34,0.039,12.039,0.064,12.012,0.022,11.975,0.022
2MASX J09542381-1439215,0.060005,ASASSN-18co,Ia,10.63,0.165,18.3443,0.046,---,---,16.5428009,0.003009,15.90709972,0.002452,16.55800056,0.003712,15.49100018,0.00266,15.36130047,0.005088,14.512,0.073,13.882,0.095,13.529,0.11,13.275,0.025,13.125,0.03
KUG 1103+378,0.04721,ASASSN-18cp,Ia,1.01,0,18.0226,0.0546,17.451,0.014,16.31629944,0.002452,15.92010021,0.00209,15.83119965,0.001538,15.73359966,0.003681,15.64470005,0.007746,15.073,0.097,14.249,0.112,13.827,0.116,14.304,0.035,14.198,0.051
CGCG 040-065,0.023431,ASASSN-18cq,II,2.98,0,17.7763,0.038,17.694,0.016,16.62080002,0.002575,16.44619942,0.002991,16.24379921,0.002027,16.23740005,0.004716,16.14410019,0.009372,---,---,---,---,---,---,14.488,0.029,14.235,0.048
2MASX J05165462-3839357,0.067524,ASASSN-18cu,Unk,7.9,0.121,18.8171,0.0863,---,---,---,---,---,---,---,---,---,---,---,---,14.688,0.089,14.044,0.092,13.507,0.098,13.51,0.025,13.346,0.027
ESO 207- G 015,0.045825,ASASSN-18cy,Ia,3.49,0.189,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12.564,0.031,11.791,0.038,11.476,0.059,11.85,0.022,11.898,0.021
GALEXASC J032916.48-235840.2,---,ASASSN-18da,Ia,3.91,0.005,21.0716,0.1959,---,---,18.61650085,0.014607,18.21850014,0.018639,17.92849922,0.010973,17.86770058,0.016031999,18.65299988,0.051966,---,---,---,---,---,---,16.387,0.054,16.459,0.181
UNC J144310.56+172815.6,---,ASASSN-18db,Ia-91T,0.57,0.028,---,---,23.718,1.207,22.75040054,0.175787002,22.33530045,0.144105002,21.34049988,0.105870999,21.82589912,0.156036004,21.04229927,0.197411001,---,---,---,---,---,---,---,---,---,---
