SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18ce,SN 2018rw,2018-02-10.13,'06:09:39.22,'-33:35:23.56,0.037,18.1,---,17.75,9.69,Ia,4,FAIRALL 1138,,
ASASSN-18cj,SN 2018tq,2018-02-10.28,'12:41:51.32,'+23:30:43.63,0.028676,18.1,---,17,5.28,Ia,6,IC 3671,,
ASASSN-18ck,SN 2018tr,2018-02-13.30,'10:51:50.10,'+25:02:41.14,0.045563,17.8,---,17.17,0.28,Ia,-7,2MASX J10515007+2502409,,
ASASSN-18cl,AT 2018ts,2018-02-13.25,'11:09:14.58,'-12:55:53.36,0.025568,17.7,---,17.56,0.75,Unk,21,2MASX J11091457-1255536,,
ASASSN-18co,SN 2018tt,2018-02-13.18,'09:54:23.21,'-14:39:15.19,0.060005,18,---,16.8,10.63,Ia,15,2MASX J09542381-1439215,,
ASASSN-18cp,SN 2018tz,2018-02-13.29,'11:05:56.78,'+37:37:30.50,0.047199,17.9,---,17.07,1.01,Ia,3,KUG 1103+378,,
ASASSN-18cq,SN 2018ub,2018-02-13.38,'11:54:58.71,'+06:19:47.24,0.023356,18.2,---,17.19,2.98,II,14,CGCG 040-065,,
ASASSN-18cu,AT 2018vo,2018-02-15.08,'05:16:55.15,'-38:39:41.15,Unk,18.7,---,16.7,7.9,Unk,13,2MASX J05165462-3839357,,
ASASSN-18cy,SN 2018vs,2018-02-14.13,'07:02:22.50,'-49:43:31.87,0.045825,17.7,---,17.36,3.49,Ia,-1,ESO 207- G 015,,
ASASSN-18da,AT 2018vw,2018-02-17.09,'03:29:16.64,'-23:58:43.10,0.02,16.5,---,15.23,3.91,Ia,14,GALEXASC J032916.48-235840.2,,
ASASSN-18db,SN 2018vx,2018-02-17.43,'14:43:10.42,'+17:28:17.08,0.043,17.1,---,16.51,0.57,Ia-91T,12,UNCATALOGUED,,
ASASSN-18dd,SN 2018wd,2018-02-17.48,'16:53:55.89,'+35:15:15.16,0.037314,17.3,---,16.98,4.65,Unk,13,2MASX J16535612+3515186,,
ASASSN-18dj,AT 2018xv,2018-02-19.83,'06:00:58.90,'-17:59:33.04,0.0221,17.6,---,16.9,2.95,Ic-BL,7,2MASX J06005908-1759313,,
ASASSN-18dk,SN 2018xy,2018-02-21.16,'09:16:22.10,'+10:13:54.70,0.030875,17.3,---,16.5,0.45,Ia,10,CGCG 062-012,,
ASASSN-18dl,AT 2018xz,2018-02-21.25,'10:02:31.44,'+13:43:41.48,0.033537,17.6,---,16.9,0.29,Ia,4,2MASX J10023148+1343409,,
ASASSN-18dm,SN 2018yc,2018-02-22.32,'11:52:45.49,'+37:51:15.26,0.035,17.7,---,17.55,2.34,Ia,7,WISEA J115245.36+375117.0,,
ASASSN-18dn,AT 2018yd,2018-02-22.09,'06:10:58.95,'-33:41:18.38,0.03848,17.9,---,17.3,1.06,Ia,2,2MASX J06105892-3341177,,
ASASSN-18dr,SN 2018yg,2018-02-23.23,'12:25:58.53,'+04:28:26.28,0.018469,17.3,---,16.05,0.44,Ic-BL,5,ARK 364,,
ASASSN-18dt,SN 2018yh,2018-02-24.26,'14:09:01.40,'-30:33:25.99,0.023436,16.6,---,16.52,6.53,Ia,-11,2MASX J14090127-3033321,,
ASASSN-18du,SN 2018yi,2018-02-17.23,'13:38:20.19,'-06:15:10.15,0.054971,18.1,---,17.22,7.9,Ia,12,LCRS B133543.8-060003,,
ASASSN-18dv,SN 2018yj,2018-02-25.11,'05:03:19.69,'-10:58:18.05,0.035,17.1,---,16.82,3.22,Ia,0,2MASX J05031988-1058163,,
ASASSN-18ef,SN 2018yq,2018-02-22.33,'12:15:23.14,'+27:37:35.11,0.035949,18.3,---,17.27,0.72,Ia,12,2MASX J12152315+2737346,,
ASASSN-18el,SN 2018zf,2018-03-03.50,'19:27:19.48,'+65:33:54.36,0.017,15.3,---,15.24,0.37,II,13,2MASX J19271951+6533539,,
